| epoch   2 | step   1100 | train loss    0.008 | train acc    100.0%
| epoch   2 | step   1200 | train loss    0.044 | train acc    100.0%
| epoch   2 | step   1300 | train loss    0.001 | train acc    100.0%
| epoch   2 | step   1400 | train loss    0.007 | train acc    100.0%
| epoch   2 | step   1500 | train loss    0.003 | train acc    100.0%
| epoch   2 | step   1600 | train loss    0.002 | train acc    100.0%
| epoch   2 | step   1700 | train loss    0.033 | train acc     96.9%
| epoch   2 | step   1800 | train loss    0.007 | train acc    100.0%
| epoch   2 | step   1900 | train loss    0.008 | train acc    100.0%
| epoch   2 | step   2000 | train loss    0.067 | train acc     96.9%
| eval in epoch   2 | val loss:    0.055 | val acc:     98.5%
| epoch   2 | step   2100 | train loss    0.039 | train acc     96.9%
| epoch   2 | step   2200 | train loss    0.035 | train acc     96.9%
| epoch   2 | step   2300 | train loss    0.001 | train acc    100.0%
| epoch   2 | step   2400 | train loss    0.003 | train acc    100.0%
| epoch   2 | step   2500 | train loss    0.003 | train acc    100.0%
| epoch   2 | step   2600 | train loss    0.003 | train acc    100.0%
| epoch   2 | step   2700 | train loss    0.047 | train acc     96.9%
| epoch   2 | step   2800 | train loss    0.004 | train acc    100.0%
| epoch   3 | step    100 | train loss    0.002 | train acc    100.0%
| epoch   3 | step    200 | train loss    0.015 | train acc    100.0%
| epoch   3 | step    300 | train loss    0.004 | train acc    100.0%
| epoch   3 | step    400 | train loss    0.001 | train acc    100.0%
| epoch   3 | step    500 | train loss    0.010 | train acc    100.0%
| epoch   3 | step    600 | train loss    0.004 | train acc    100.0%
| epoch   3 | step    700 | train loss    0.001 | train acc    100.0%
| epoch   3 | step    800 | train loss    0.003 | train acc    100.0%
| epoch   3 | step    900 | train loss    0.008 | train acc    100.0%
| epoch   3 | step   1000 | train loss    0.135 | train acc     90.6%
| eval in epoch   3 | val loss:    0.054 | val acc:     98.6%
| epoch   3 | step   1100 | train loss    0.003 | train acc    100.0%
| epoch   3 | step   1200 | train loss    0.017 | train acc    100.0%
| epoch   3 | step   1300 | train loss    0.000 | train acc    100.0%
| epoch   3 | step   1400 | train loss    0.001 | train acc    100.0%
| epoch   3 | step   1500 | train loss    0.004 | train acc    100.0%
| epoch   3 | step   1600 | train loss    0.002 | train acc    100.0%
| epoch   3 | step   1700 | train loss    0.027 | train acc     96.9%
| epoch   3 | step   1800 | train loss    0.020 | train acc    100.0%
| epoch   3 | step   1900 | train loss    0.002 | train acc    100.0%
| epoch   3 | step   2000 | train loss    0.024 | train acc     96.9%
| eval in epoch   3 | val loss:    0.059 | val acc:     98.7%
| epoch   3 | step   2100 | train loss    0.014 | train acc    100.0%
| epoch   3 | step   2200 | train loss    0.003 | train acc    100.0%
| epoch   3 | step   2300 | train loss    0.000 | train acc    100.0%
| epoch   3 | step   2400 | train loss    0.001 | train acc    100.0%
| epoch   3 | step   2500 | train loss    0.004 | train acc    100.0%
| epoch   3 | step   2600 | train loss    0.001 | train acc    100.0%
| epoch   3 | step   2700 | train loss    0.006 | train acc    100.0%
| epoch   3 | step   2800 | train loss    0.002 | train acc    100.0%
| epoch   4 | step    100 | train loss    0.011 | train acc    100.0%
| epoch   4 | step    200 | train loss    0.007 | train acc    100.0%
| epoch   4 | step    300 | train loss    0.001 | train acc    100.0%
| epoch   4 | step    400 | train loss    0.015 | train acc    100.0%
| epoch   4 | step    500 | train loss    0.007 | train acc    100.0%
| epoch   4 | step    600 | train loss    0.006 | train acc    100.0%
| epoch   4 | step    700 | train loss    0.003 | train acc    100.0%
| epoch   4 | step    800 | train loss    0.002 | train acc    100.0%
| epoch   4 | step    900 | train loss    0.014 | train acc    100.0%
| epoch   4 | step   1000 | train loss    0.001 | train acc    100.0%
| eval in epoch   4 | val loss:    0.049 | val acc:     98.5%
| epoch   4 | step   1100 | train loss    0.000 | train acc    100.0%
| epoch   4 | step   1200 | train loss    0.001 | train acc    100.0%
| epoch   4 | step   1300 | train loss    0.042 | train acc     96.9%
| epoch   4 | step   1400 | train loss    0.007 | train acc    100.0%
| epoch   4 | step   1500 | train loss    0.001 | train acc    100.0%
| epoch   4 | step   1600 | train loss    0.001 | train acc    100.0%
| epoch   4 | step   1700 | train loss    0.003 | train acc    100.0%
| epoch   4 | step   1800 | train loss    0.017 | train acc    100.0%
| epoch   4 | step   1900 | train loss    0.002 | train acc    100.0%
| epoch   4 | step   2000 | train loss    0.003 | train acc    100.0%
| eval in epoch   4 | val loss:    0.061 | val acc:     98.5%
| epoch   4 | step   2100 | train loss    0.003 | train acc    100.0%
| epoch   4 | step   2200 | train loss    0.027 | train acc    100.0%
| epoch   4 | step   2300 | train loss    0.001 | train acc    100.0%
| epoch   4 | step   2400 | train loss    0.001 | train acc    100.0%
| epoch   4 | step   2500 | train loss    0.050 | train acc     96.9%
| epoch   4 | step   2600 | train loss    0.005 | train acc    100.0%
| epoch   4 | step   2700 | train loss    0.023 | train acc    100.0%
| epoch   4 | step   2800 | train loss    0.003 | train acc    100.0%
| epoch   0 | step    100 | train loss    0.238 | train acc     96.9%
| epoch   0 | step    200 | train loss    0.158 | train acc     90.6%
| epoch   0 | step    300 | train loss    0.130 | train acc     96.9%
| epoch   0 | step    400 | train loss    0.010 | train acc    100.0%
| epoch   0 | step    500 | train loss    0.020 | train acc    100.0%
| epoch   0 | step    600 | train loss    0.042 | train acc    100.0%
| epoch   0 | step    700 | train loss    0.235 | train acc     93.8%
| epoch   0 | step    800 | train loss    0.023 | train acc    100.0%
| epoch   0 | step    900 | train loss    0.077 | train acc     96.9%
| epoch   0 | step   1000 | train loss    0.061 | train acc     96.9%
| eval in epoch   0 | val loss:    0.140 | val acc:     97.2%
| epoch   0 | step   1100 | train loss    0.038 | train acc    100.0%
| epoch   0 | step   1200 | train loss    0.043 | train acc     96.9%
| epoch   0 | step   1300 | train loss    0.036 | train acc     96.9%
| epoch   0 | step   1400 | train loss    0.052 | train acc     96.9%
| epoch   0 | step   1500 | train loss    0.063 | train acc     96.9%
| epoch   0 | step   1600 | train loss    0.043 | train acc     96.9%
| epoch   0 | step   1700 | train loss    0.009 | train acc    100.0%
| epoch   0 | step   1800 | train loss    0.002 | train acc    100.0%
| epoch   0 | step   1900 | train loss    0.133 | train acc     93.8%
| epoch   0 | step   2000 | train loss    0.137 | train acc     96.9%
| eval in epoch   0 | val loss:    0.094 | val acc:     98.1%
| epoch   0 | step   2100 | train loss    0.036 | train acc     96.9%
| epoch   0 | step   2200 | train loss    0.032 | train acc    100.0%
| epoch   0 | step   2300 | train loss    0.005 | train acc    100.0%
| epoch   0 | step   2400 | train loss    0.063 | train acc     96.9%
| epoch   0 | step   2500 | train loss    0.007 | train acc    100.0%
| epoch   0 | step   2600 | train loss    0.070 | train acc     96.9%
| epoch   0 | step   2700 | train loss    0.074 | train acc     96.9%
| epoch   0 | step   2800 | train loss    0.092 | train acc     96.9%
| epoch   1 | step    100 | train loss    0.033 | train acc     96.9%
| epoch   1 | step    200 | train loss    0.004 | train acc    100.0%
| epoch   1 | step    300 | train loss    0.003 | train acc    100.0%
| epoch   1 | step    400 | train loss    0.230 | train acc     93.8%
| epoch   1 | step    500 | train loss    0.014 | train acc    100.0%
| epoch   1 | step    600 | train loss    0.201 | train acc     93.8%
| epoch   1 | step    700 | train loss    0.009 | train acc    100.0%
| epoch   1 | step    800 | train loss    0.026 | train acc    100.0%
| epoch   1 | step    900 | train loss    0.009 | train acc    100.0%
| epoch   1 | step   1000 | train loss    0.025 | train acc    100.0%
| eval in epoch   1 | val loss:    0.078 | val acc:     98.3%
| epoch   1 | step   1100 | train loss    0.029 | train acc     96.9%
| epoch   1 | step   1200 | train loss    0.006 | train acc    100.0%
| epoch   1 | step   1300 | train loss    0.023 | train acc    100.0%
| epoch   1 | step   1400 | train loss    0.009 | train acc    100.0%
| epoch   1 | step   1500 | train loss    0.031 | train acc    100.0%
| epoch   1 | step   1600 | train loss    0.008 | train acc    100.0%
| epoch   1 | step   1700 | train loss    0.022 | train acc    100.0%
| epoch   1 | step   1800 | train loss    0.001 | train acc    100.0%
| epoch   1 | step   1900 | train loss    0.023 | train acc    100.0%
